Serial Episode, Thumbnail Link, Video Link, Genre
Bigg Boss 4 Tamil 05-10-2020 *Day 1* Episode 02 - Vijay TV,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1WOpj3YZFCMjfwm47R&mode=playVideo, Big Boss
Bigg Boss Tamil 4 - 06-10-2020 *Day 2* LIVE - Vijay TV,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3RKaaIPM8aznzwmdi7&mode=playVideo, Big Boss
Bigg Boss Tamil 07-10-2020 *Day 3* Vijay TV Season 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4jUkIVmeI2b6TwmoBJ&mode=playVideo, Big Boss
Bigg Boss Tamil 08-10-2020 *Day 4* Vijay TV Season 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k69jYg7a9e6tYSwmxJB&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 05-10-2020 *Day 1* Episode 02 - Vijay TV 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5nhH8h2JjQHDXwm3Vu&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 05-10-2020 *Day 1* Episode 02 - Vijay TV 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7cfzRbWw9SpbYwm3PK&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 05-10-2020 *Day 1* Episode 02 - Vijay TV 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1BXbmhcFOXfqawm3PL&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 05-10-2020 *Day 1* Episode 02 - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7wYdl70Xx0ZWPwm3PJ&mode=playVideo, Big Boss
Bigg Boss Tamil 4 - 06-10-2020 *Day 2* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k19BX2JcZRXWlTwmdi3&mode=playVideo, Big Boss
Bigg Boss Tamil 07-10-2020 *Day 3* Vijay TV Season 4 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3L2VjDMDC5Ec9wmoDO&mode=playVideo, Big Boss
Bigg Boss Tamil 08-10-2020 *Day 4* Vijay TV Season 4 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k69jYg7a9e6tYSwmxJB&mode=playVideo, Big Boss
Bigg Boss Tamil 4 - 09-10-2020 *Day 5* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5Nv3RlV1O9JLbwmGq1&mode=playVideo, Big Boss
Watch BB Alaparaigal - Bigg Boss Band 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k57eG91xvfMJj2wmJhu&mode=playVideo, Big Boss
Bigg Boss Tamil 4 - 10-10-2020 *Day 6* Weekend LIVE - Vijay TV 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4tMlVjMzAMvGYwmOy1&mode=playVideo, Big Boss
Bigg Boss Tamil 4 - 10-10-2020 *Day 6* Weekend LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k315vDjR61H4Q0wmOy2&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 11-10-2020 *Day 7* LIVE - Vijay TV 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7dZPHepnS3fmPwmV6m&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 11-10-2020 *Day 7* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3iZJV3EVuGMqGwmVeK&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 12-10-2020 *Day 8* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1axNyvLENL3jRwn1G0&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 13-10-2020 *Day 9* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1hbA3xk3zw3fLwnbN1&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 14-10-2020 *Day 10* LIVE - Vijay TV 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6i5q4KqKJICOjwnkbu&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 14-10-2020 *Day 10* LIVE - Vijay TV 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1uwbWOpQyBdyCwnk4Q&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 14-10-2020 *Day 10* LIVE - Vijay TV 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1Mz39Lza6NjZKwnjWs&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 14-10-2020 *Day 10* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=klvVuT2NWnmHY9wnjM7&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 16-10-2020 *Day 12* LIVE - Vijay TV 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k48jcy6TxmxYXKwnD90&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 16-10-2020 *Day 12* LIVE - Vijay TV 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2C7ItnysO8XNWwnD6J&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 16-10-2020 *Day 12* LIVE - Vijay TV 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1J9XbQv3wkgSfwnCQG&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 16-10-2020 *Day 12* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2YrJxUfgijFArwnCMf&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 17-10-2020 - *Day 13* LIVE - Vijay TV 5,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kqoVrC536JaO9iwnKnn&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 17-10-2020 - *Day 13* LIVE - Vijay TV 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7sNbPIDNWca1TwnKhL&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 17-10-2020 - *Day 13* LIVE - Vijay TV 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kTab5pfcL5qQvpwnKbO&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 17-10-2020 - *Day 13* LIVE - Vijay TV 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3fbbpxESuLtD6wnK6l&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 17-10-2020 - *Day 13* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1PxRhMe4dQpj0wnK16&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 18-10-2020 - *Day 14* LIVE - Vijay TV 5,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kdDglinET2IfFEwnQQy&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 18-10-2020 - *Day 14* LIVE - Vijay TV 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1uBv05idyuACdwnQJP&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 18-10-2020 - *Day 14* LIVE - Vijay TV 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1QjGSF6z8pUm9wnQCT&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 18-10-2020 - *Day 14* LIVE - Vijay TV 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1yS0AcAaTx2ocwnQzp&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 18-10-2020 - *Day 14* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2YlgrEIyUBW9ewnQuK&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 19-10-2020 - *Day 15* LIVE - Vijay TV 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3doEQE6AdGZehwnZwg&mode=playVideo, Big Boss
